id,text,label,Comments
22,Wir verlängern die Steuerfreiheit des Kurzarbeitergeldes um weitere drei Monate.,neutral,
23,"Ich will Ihnen sagen, dass mich die Heftigkeit der Debatte zum einen überrascht und zum anderen auch bewegt.",neutral,
24,"– Sie schreiben damit selber rein: Wir dürfen es nicht, aber wir machen es trotzdem; es ist uns völlig egal.",negativ,
25,"Das
                    heißt: Helfen, wo es nötig ist, und in unserem Sektor Bauen heißt es: Bauen und Sanieren, wo es nötig ist, Impulse geben, die in die Zukunft weisen.",neutral,
26,"Das ist unglaubwürdig, und das werden wir beenden, meine Damen und Herren.",negativ,
27,Im Bereich der Fiskalpolitik sollten wir uns um etwas Zurückhaltung bemühen.,neutral,
28,Investiert!,positiv,
29,"– Als nächster Redner hat das Wort, nachdem ich ihn aufgerufen habe, der Kollege Dr. Andreas Philippi, SPD-Fraktion.",neutral,
30,Wir wollen das Gute-KiTa-Gesetz fortentwickeln und bis Ende der Legislatur in ein Qualitätsentwicklungsgesetz überführen.,neutral,
31,"Wir brauchen weniger Abhängigkeit von Weizenimporten aus der Ukraine und aus Russland, und wir brauchen mehr Resilienz, insbesondere afrikanischer Staaten, und mehr Anbau von besser geeigneten Nahrungsmitteln in den Regionen.",neutral,
32,"Das zu verhindern, ist unsere gemeinsame Verantwortung in diesem Haus.",neutral,
33,"Ich will hier nur numerisch ganz kurz zusammenfassen, dass wir in den nächsten Wochen und Monaten insgesamt
                    zwölf Gesetze ans Netz bringen werden, über die wir dann mit Ihnen diskutieren werden.",neutral,
34,"Deswegen ist gerade die Beschleunigung von Planungs- und Genehmigungsverfahren ein, wenn nicht sogar das zentrale Aufgabenfeld dieser Koalition.",neutral,
35,"Nein, es war kein Geschäftsordnungsantrag.",neutral,
36,"Dazu gehört eben, dass wir die Zuverdienstgrenzen erhöhen.",neutral,
37,Dieses Bußgeld kann momentan bis zu 10 000 Euro betragen.,neutral,
38,Ich kann nur allen Organisationen dringend raten: Vorsicht!,neutral,
39,"Wir brauchen ihn nicht im Herbst, wir brauchen ihn jetzt; denn dieser Progressionsbericht ist die Grundlage für die Neujustierung des Einkommensteuertarifs, und zwar proaktiv, durch Vorlage der Regierung hier und durch dieses Parlament.",neutral,
40,Liebe Kolleginnen und Kollegen der demokratischen Fraktionen!,neutral,
41,"Und genau das, immer strengere Energieauflagen, schreiben Sie, meine Damen und Herren von der Koalition, auch in Ihrem Gesetzentwurf für den Bundesbau fest.",negativ,
42,"Wir müssen alles tun, um das zu verhindern.",neutral,
43,Im normalen Rhythmus hätte sie also 2019 erneut durchgeführt werden müssen.,neutral,
44,"Die Anschläge auf Nord Stream 1 und 2 zeigen, wie verwundbar unsere Infrastruktur ist, unsere Wirtschaft, unsere Gesellschaft.",neutral,
45,"Die Ampel ist angetreten, um BAföG besser zu machen, damit das Aufstiegsversprechen der sozialen Marktwirtschaft erneuert wird.",neutral,
46,"Während die Menschen aufgefordert werden, zwei Pullover anzuziehen, sich nur mit Waschlappen zu waschen und in die Dusche zu pinkeln, baut man dem Kanzler einen Prunkpalast für 777 Millionen Euro.",negativ,
47,Punkt!,neutral,
48,"Schauen Sie sich einmal an, was im Verkehrsbereich erreicht wurde!",positiv,
49,"– Die nächste Rednerin ist die Kollegin Dr. Tanja Machalet, SPD-Fraktion.",neutral,
50,"Am Ende wäre es das Schlimmste, wenn es keine Lösung geben würde.",negativ,
51,Vielen Dank.,neutral,
52,Die kommenden Tage werden wichtige Tage für die globale Gesundheit.,neutral,
53,Er berücksichtigt in keiner Weise die Interessen der Universitäten und Hochschulen als Arbeitgeber.,negativ,
54,Wir wollen sie effizienter machen und gleichzeitig die Beschuldigtenrechte durch die Aufzeichnung von Vernehmungen und der Hauptverhandlungen stärken.,neutral,
55,Wurden die richtigen Entscheidungen getroffen?,neutral,
56,Kultur ist wichtig für die Identitätsbildung.,positiv,
57,Wann wollen Sie es entscheiden?,neutral,
58,"Man könnte meinen, 0,1 Prozentpunkte wären eine Kleinigkeit.",neutral,
59,Das ist eine krasse Fehlentscheidung.,negativ,
60,"Die Gasumlage, wie vorhin schon gesagt, wird am Ende der Tage bei jeder Verbraucherin und bei jedem Verbraucher mit erhöhten Preisen ankommen.",neutral,
61,"Ich glaube, wir müssen in unserem Land ganz aktuell schauen, dass wir das Thema Inflation auch für alle im Blick haben.",neutral,
62,"Dadurch kann die Transparenzstelle unabhängig bewerten, ob eine Energiesteuersenkung oder andere Entlastungen auch bei den Bürgerinnen und Bürgern ankommen.",neutral,
63,In jedem dritten Fall wurde das Anliegen zurückgewiesen.,neutral,
64,Die Kultur befindet sich in einer Dauerkrise.,negativ,
65,"Das gemeinsame Bekenntnis der westlichen Führungsländer in der NATO, im Verbund mit unseren Verbündeten geschlossen und besonnen vorzugehen, ist dafür entscheidend.",neutral,
66,Sie machen ja nur Riesenklamauk hier.,negativ,
67,Das Erste ist schon erwähnt worden: Es ist keinerlei Prävention.,negativ,
68,"Schade, dass Sie dies nicht getan haben.",negativ,
69,Dafür haben wir insgesamt die Deutsche Rentenversicherung.,neutral,
70,Diese werden alles andere als einfach; denn man kann natürlich auf den Märkten auch schon Ausweichbewegungen sehen.,neutral,
71,Das ist das Prinzip dieser Koalition bei der Einführung der Kindergrundsicherung.,neutral,
72,Zum Beispiel geht China massiv gegen die Religionen vor.,negativ,
73,"Das kann dazu führen, dass sich Menschen überwacht fühlen.",neutral,
74,Sehr geehrtes Präsidium!,neutral,
75,Sicherlich geht es da auch um die Kostendiskussion.,neutral,
76,Hier spreche ich die Reform des Straßenverkehrsgesetzes an.,neutral,
77,Ist Ihnen das bekannt?,neutral,
78,"Wir müssen das also miteinander verbinden, meine Damen und Herren.",neutral,
79,Liebe Kolleginnen und Kollegen!,neutral,
80,Ich appelliere noch mal: An der Stelle sollten Sie Anwalt der Landwirte sein.,neutral,
81,Frau Präsidentin!,neutral,
82,"Vielen Dank, Frau Kollegin Schimke.",positiv,
